period,year,period_id,start_date,end_date,duration_days,mean_temp,max_temp,start_plot_date,end_plot_date
2021 warm season,2021,4,2021-06-08,2021-06-21,14,28.202520703933747,29.19072463768116,2000-06-08,2000-06-21
2021 warm season,2021,6,2021-06-30,2021-08-07,39,28.15018077681846,29.45878787878788,2000-06-30,2000-08-07
2021 warm season,2021,8,2021-08-16,2021-08-21,6,27.819429144385026,28.430196078431372,2000-08-16,2000-08-21
2021 warm season,2021,10,2021-08-25,2021-09-08,15,27.095866341991343,27.60333333333333,2000-08-25,2000-09-08
2021 warm season,2021,12,2021-09-11,2021-10-21,41,28.398605298244338,30.03848484848485,2000-09-11,2000-10-21
2023 warm season,2023,1,2023-06-01,2023-07-05,35,27.809598430554953,28.596376811594205,2000-06-01,2000-07-05
2023 warm season,2023,5,2023-07-21,2023-08-09,20,28.014326086956522,28.668115942028987,2000-07-21,2000-08-09
2023 warm season,2023,7,2023-08-12,2023-08-13,2,27.199420289855073,27.20695652173913,2000-08-12,2000-08-13
2023 warm season,2023,9,2023-08-27,2023-08-28,2,27.153985507246375,27.162898550724638,2000-08-27,2000-08-28
2023 warm season,2023,11,2023-09-19,2023-10-14,26,28.20186965811966,29.30138888888889,2000-09-19,2000-10-14
